id;category_name;description;image;image_content_type;image_uri_link
1;Table;projection Versatile;../fake-data/blob/hipster.png;image/png;Integration
2;bypassing SCSI applications;e-commerce;../fake-data/blob/hipster.png;image/png;Fresh
3;transmitting XML orchestrate;Nevada enterprise Belarussian Ruble;../fake-data/blob/hipster.png;image/png;fuchsia
4;Soap Chad Regional;architectures red;../fake-data/blob/hipster.png;image/png;Dominica
5;Program Identity;fresh-thinking Designer;../fake-data/blob/hipster.png;image/png;array
6;Chicken violet;Home Loan Account deposit;../fake-data/blob/hipster.png;image/png;HDD
7;pink Investor;compress;../fake-data/blob/hipster.png;image/png;Fantastic
8;Future Specialist bypass;California;../fake-data/blob/hipster.png;image/png;Thailand Product
9;Home Loan Account revolutionize Tonga;withdrawal fresh-thinking;../fake-data/blob/hipster.png;image/png;Open-source Avon invoice
10;United States of America invoice;Sleek Steel Sausages;../fake-data/blob/hipster.png;image/png;azure
