id;total_amount;created_date;user_idp_code;payment_done
1;84651;2020-02-18T05:36:52;vertical Investor Svalbard & Jan Mayen Islands;false
2;18587;2020-02-17T17:15:35;Argentina back-end;true
3;35765;2020-02-17T21:14:28;Tunnel Home Loan Account secured line;true
4;67835;2020-02-17T19:01:41;Handcrafted Steel Chicken Brooks platforms;true
5;7229;2020-02-18T15:32:52;array seize feed;true
6;99618;2020-02-18T07:32:30;Steel Tajikistan;true
7;42963;2020-02-18T11:27:30;Swedish Krona;true
8;81614;2020-02-18T03:34:44;strategize mobile grey;false
9;97052;2020-02-17T20:43:15;Rubber Games;false
10;80115;2020-02-17T19:24:22;Handmade Wooden Chips;true
