id;description;name;actual_rate;offer_rate;special_offer_item
1;23324;Checking Account;62682;53676;false
2;98311;quantify cross-platform support;98666;76190;false
3;34790;Chilean Peso Unidades de fomento Handmade Legacy;92572;63950;false
4;70131;THX actuating;88209;64964;false
5;93728;Rustic Steel Soap Kina;44325;83023;false
6;70307;partnerships throughput;54662;46442;true
7;85179;intermediate withdrawal Bedfordshire;4189;60561;true
8;51217;intranet;48018;16516;false
9;69325;Rustic Concrete Car;78661;16911;false
10;56622;Identity orange Security;46269;94963;true
