id;created_date;user_idp_code;rating;comment
1;2020-02-17T20:09:58;mindshare Team-oriented Intranet;52024;Kentucky interface
2;2020-02-18T01:01:09;Credit Card Account Handcrafted Soft Chicken virtual;41575;New Jersey Nigeria
3;2020-02-18T04:06:07;Niger Beauty;68796;GB open-source North Dakota
4;2020-02-17T20:37:39;Locks Garden;5632;enable Compatible
5;2020-02-17T20:57:52;granular Credit Card Account Checking Account;69078;markets Greens Product
6;2020-02-18T07:46:47;Technician Small Frozen Shirt payment;51150;Lesotho
7;2020-02-18T13:59:46;Credit Card Account Arkansas deliver;9869;Georgia Mexico
8;2020-02-17T18:19:55;SMTP Awesome Granite Soap;47036;Czech Koruna
9;2020-02-18T07:30:27;application;98856;Extended Checking Account Chief
10;2020-02-17T18:41:18;Creative Cambridgeshire;9677;composite Checking Account
